"id","name","approve_year","approve_no","approve_region","suitable_region","culti_type","sub_type","maturity","control_variety","growth_days","compare_days","rice_code"
8540,两优9773,2011,赣审稻2011014,江西,江西省稻瘟病轻发地区,7,9,12,浙733,109.90,0.60,ZLDZ-61-中稻
8541,中百优6号,2011,赣审稻2011013,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,118.30,-2.60,ZLDZ-61-中稻
8542,科香优8417,2011,赣审稻2011012,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,114.50,-0.80,ZLDZ-61-中稻
8543,益丰优205选,2011,赣审稻2011011,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,119.30,-3.40,ZLDZ-61-中稻
8544,湘优4号,2011,赣审稻2011010,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,122.40,1.70,ZLDZ-61-中稻
8545,庆丰优7998,2011,赣审稻2011009,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,121.10,1.00,ZLDZ-61-中稻
8546,金优113,2011,赣审稻2011008,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,115.10,-0.20,ZLDZ-61-中稻
8547,欣香优1068,2011,赣审稻2011007,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,114.70,-0.60,ZLDZ-61-中稻
8548,欣荣优268,2011,赣审稻2011006,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,119.40,-1.50,ZLDZ-61-中稻
8549,泸优8258,2011,赣审稻2011005,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优838,125.80,2.00,ZLDZ-61-中稻
8550,泰优99,2011,赣审稻2011004,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优838,126.50,2.20,ZLDZ-61-中稻
8551,建优718,2011,赣审稻2011003,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优838,128.30,4.50,ZLDZ-61-中稻
8552,福优715,2011,赣审稻2011002,江西,江西省稻瘟病轻发地区,7,9,13,Ⅱ优838,124.00,-1.40,ZLDZ-61-中稻
8553,深两优9152,2011,赣审稻2011001,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优838,130.20,5.90,ZLDZ-61-中稻
8554,全优527,2010,赣审稻2010032,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,119.30,-2.50,ZLDZ-61-中稻
8555,中9优600,2010,赣审稻2010031,江西,江西省稻瘟病轻发地区,7,9,13,金优207,114.40,4.30,ZLDZ-61-中稻
8556,丰源优24,2010,赣审稻2010030,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,121.90,0.20,ZLDZ-61-中稻
8557,丰源优2297,2010,赣审稻2010029,江西,江西省稻瘟病轻发地区,7,9,13,金优207,114.40,4.70,ZLDZ-61-中稻
8558,中3优810,2010,赣审稻2010028,江西,江西省稻瘟病轻发地区,7,9,13,金优207,113.60,3.40,ZLDZ-61-中稻
8559,岳优27,2010,赣审稻2010027,江西,江西省稻瘟病轻发地区,7,9,13,金优207,112.80,2.90,ZLDZ-61-中稻
8560,益丰优218,2010,赣审稻2010026,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,120.00,-2.10,ZLDZ-61-中稻
8561,益丰优3027选,2010,赣审稻2010025,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,118.70,-3.10,ZLDZ-61-中稻
8562,汕优306,2010,赣审稻2010024,江西,江西省稻瘟病轻发地区,7,9,13,金优207,112.00,2.20,ZLDZ-61-中稻
8563,田两优31,2010,赣审稻2010023,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,117.10,-5.00,ZLDZ-61-中稻
