"id","province","city","county","data_year","detail","created_at","updated_at"
43,湖南省,衡阳市,耒阳市,"2026","{""1"": [""0515"", ""0521""], ""2"": [""0611"", ""0617""], ""3"": [""0704"", ""0708""], ""4"": [""0802"", ""0809""], ""5"": [""0907"", ""0912""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
44,湖南省,衡阳市,衡阳县,"2026","{""1"": [""0510"", ""0514""], ""2"": [""0609"", ""0613""], ""3"": [""0704"", ""0708""], ""4"": [""0803"", ""0807""], ""5"": [""0902"", ""0907""], ""6"": [""0919"", ""0923""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
45,湖南省,常德市,临澧县,"2026","{""1"": [""0511"", ""0516""], ""2"": [""0615"", ""0621""], ""3"": [""0709"", ""0713""], ""4"": [""0806"", ""0810""], ""5"": [""0819"", ""0822""], ""6"": [""0908"", ""0912""], ""7"": [""0924"", ""0930""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
46,湖南省,长沙市,宁乡市,"2026","{""1"": [""0509"", ""0514""], ""2"": [""0611"", ""0615""], ""3"": [""0708"", ""0713""], ""4"": [""0805"", ""0810""], ""5"": [""0818"", ""0824""], ""6"": [""0907"", ""0912""], ""7"": [""0922"", ""0926""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
47,湖南省,邵阳市,武冈市,"2026","{""1"": [""0525"", ""0530""], ""2"": [""0612"", ""0618""], ""3"": [""0710"", ""0715""], ""4"": [""0810"", ""0815""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
48,湖南省,永州市,江永县,"2026","{""1"": [""0510"", ""0518""], ""2"": [""0617"", ""0625""], ""3"": [""0807"", ""0816""], ""4"": [""0821"", ""0831""], ""5"": [""0915"", ""0925""], ""6"": [""0919"", ""0930""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
49,湖南省,益阳市,沅江市,"2026","{""1"": [""0515"", ""0518""], ""2"": [""0616"", ""0620""], ""3"": [""0712"", ""0716""], ""4"": [""0808"", ""0811""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
50,湖南省,常德市,澧县,"2026","{""1"": [""0512"", ""0516""], ""2"": [""0612"", ""0617""], ""3"": [""0711"", ""0717""], ""4"": [""0808"", ""0813""], ""5"": [""0822"", ""0830""], ""6"": [""0921"", ""0930""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
51,湖南省,怀化市,靖州县,"2026","{""1"": [""0519"", ""0527""], ""2"": [""0603"", ""0610""], ""3"": [""0717"", ""0725""], ""4"": [""0806"", ""0812""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
52,湖南省,郴州市,嘉禾县,"2026","{""1"": [""0512"", ""0519""], ""2"": [""0613"", ""0619""], ""3"": [""0714"", ""0720""], ""4"": [""0908"", ""0912""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
53,湖南省,邵阳市,新宁县,"2026","{""1"": [""0512"", ""0520""], ""2"": [""0614"", ""0620""], ""3"": [""0718"", ""0725""], ""4"": [""0809"", ""0815""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
54,湖南省,长沙市,望城区,"2026","{""1"": [""0510"", ""0515""], ""2"": [""0613"", ""0617""], ""3"": [""0717"", ""0722""], ""4"": [""0808"", ""0812""], ""5"": [""0909"", ""0915""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
55,湖南省,怀化市,辰溪县,"2026","{""1"": [""0514"", ""0527""], ""2"": [""0620"", ""0627""], ""3"": [""0710"", ""0716""], ""4"": [""0820"", ""0826""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
56,湖南省,邵阳市,新邵县,"2026","{""1"": [""0514"", ""0519""], ""2"": [""0609"", ""0615""], ""3"": [""0713"", ""0718""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
57,湖南省,长沙市,浏阳市,"2026","{""1"": [""0512"", ""0516""], ""2"": [""0617"", ""0622""], ""3"": [""0712"", ""0716""], ""4"": [""0811"", ""0814""], ""5"": [""0822"", ""0826""], ""6"": [""0911"", ""0915""], ""7"": [""0921"", ""0925""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
58,湖南省,湘潭市,湘潭县,"2026","{""1"": [""0512"", ""0515""], ""2"": [""0615"", ""0617""], ""3"": [""0710"", ""0712""], ""4"": [""0808"", ""0810""], ""5"": [""0820"", ""0822""], ""6"": [""0906"", ""0908""], ""7"": [""0920"", ""0923""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
59,湖南省,永州市,零陵区,"2026","{""1"": [""0508"", ""0510""], ""2"": [""0615"", ""0617""], ""3"": [""0712"", ""0714""], ""4"": [""0808"", ""0810""], ""5"": [""0821"", ""0823""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
60,湖南省,益阳市,南县,"2026","{""1"": [""0514"", ""0519""], ""2"": [""0623"", ""0628""], ""3"": [""0713"", ""0717""], ""4"": [""0802"", ""0806""], ""5"": [""0821"", ""0827""], ""6"": [""0908"", ""0912""], ""7"": [""0922"", ""0928""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
61,湖南省,郴州市,安仁县,"2026","{""1"": [""0516"", ""0520""], ""2"": [""0616"", ""0621""], ""3"": [""0705"", ""0710""], ""4"": [""0805"", ""0809""], ""5"": [""0817"", ""0821""], ""6"": [""0909"", ""0917""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
62,湖南省,怀化市,新晃侗族自治县,"2026","{""1"": [""0520"", ""0530""], ""2"": [""0608"", ""0614""], ""3"": [""0711"", ""0716""], ""4"": [""0803"", ""0809""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
63,湖南省,怀化市,溆浦县,"2026","{""1"": [""0517"", ""0526""], ""2"": [""0618"", ""0622""], ""3"": [""0705"", ""0713""], ""4"": [""0725"", ""0804""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
64,湖南省,郴州市,资兴市,"2026","{""1"": [""0513"", ""0522""], ""2"": [""0609"", ""0616""], ""3"": [""0806"", ""0815""], ""4"": [""0816"", ""0823""], ""5"": [""0915"", ""0925""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
